STATIONS_ID; MESS_DATUM_BEGINN; MESS_DATUM_ENDE; QUALITAETS_NIVEAU; ART; NIEDERSCHLAGSHOEHE;NEUSCHNEEHOEHE;SCHNEEHOEHE; max(NIEDERSCHLAGSHOEHE);eor
   111;19690101;19690131;   5;   2;    51.8;   -999;     33;   14.0;eor
   111;19690201;19690228;   5;   2;    57.4;   -999;    363;   25.3;eor
   111;19690301;19690331;   5;   2;    88.3;   -999;    343;   17.0;eor
   111;19690401;19690430;   5;   2;    71.8;   -999;      9;   12.3;eor
   111;19690501;19690531;   5;   2;   105.1;   -999;      0;   19.5;eor
   111;19690601;19690630;   5;   2;   166.1;   -999;      0;   62.9;eor
   111;19690701;19690731;   5;   2;    41.8;   -999;      0;   27.0;eor
   111;19690801;19690831;   5;   2;    83.3;   -999;      0;   17.5;eor
   111;19690901;19690930;   5;   2;    16.6;   -999;      0;    6.3;eor
   111;19691001;19691031;   5;   2;    34.1;   -999;      0;    8.1;eor
   111;19691101;19691130;   5;   2;    76.1;   -999;     10;   15.3;eor
   111;19691201;19691231;   5;   2;    30.3;   -999;    438;    8.1;eor
   111;19700101;19700131;   5;   2;    40.7;   -999;    749;   12.0;eor
   111;19700201;19700228;   5;   2;   104.1;   -999;    826;   11.2;eor
   111;19700301;19700331;   5;   2;    80.5;   -999;   1076;   18.6;eor
   111;19700401;19700430;   5;   2;   100.8;   -999;     10;   17.7;eor
   111;19700501;19700531;   5;   2;    46.0;   -999;      0;   11.3;eor
   111;19700601;19700630;   5;   2;    56.3;   -999;      0;   17.9;eor
   111;19700701;19700731;   5;   2;    82.5;   -999;      0;   13.3;eor
   111;19700801;19700831;   5;   2;   115.4;   -999;      0;   40.7;eor
   111;19700901;19700930;   5;   2;    55.3;   -999;      0;   11.9;eor
   111;19701001;19701031;   5;   2;    60.0;   -999;      0;   10.2;eor
   111;19701101;19701130;   5;   2;    59.0;   -999;      0;   14.3;eor
   111;19701201;19701231;   5;   2;    44.7;   -999;     71;    9.3;eor
   111;19710101;19710131;   5;   2;    31.8;   -999;    276;    8.9;eor
   111;19710201;19710228;   5;   2;    27.0;   -999;     17;    6.4;eor
   111;19710301;19710331;   5;   2;    18.6;   -999;    156;    3.5;eor
   111;19710401;19710430;   5;   2;    37.3;   -999;      0;   18.7;eor
   111;19710501;19710531;   5;   2;    74.3;   -999;      0;   12.8;eor
   111;19710601;19710630;   5;   2;    84.1;   -999;      0;   19.9;eor
   111;19710701;19710731;   5;   2;    11.8;   -999;      0;    9.5;eor
   111;19710801;19710831;   5;   2;    36.0;   -999;      0;   15.2;eor
