stat_id,height,lat,lon,date_start,date_end,locale
1,,47.84,8.85,18910101,19580228,Aach
2,142,50.806,6.0986,19140101,19821231,Aachen (Kläranlage)
3,163,50.7833,6.0833,18910101,19000610,Aachen
4,243,50.7683,6.1207,19510101,19791101,Aachen-Brand
7,473,48.814,10.1285,19770922,19960131,Aalen-Unterkochen
8,307,50.2546,8.131,19540525,19911231,Aarbergen-Panrod
9,200,50.2655,8.0516,19920515,20101231,Aarbergen-Rückershausen
10,378,48.8857,12.1079,19610601,20050831,Abbach-Bad-Dünzling
12,61,52.3814,10.186,19961001,20061231,Abbensen
13,300,51.6154,11.2892,19681101,20061231,Abberode
14,9,53.5333,7.5,19480801,19620701,Abelitzmoor
15,390,49.2346,10.9668,19700723,,Abenberg
16,370,49.2193,10.8845,19620701,19991231,Abenberg-Wassermungenau
17,380,48.8421,11.8194,19650401,20050606,Abensberg-Sandharlanden
18,420,49.65,7.0833,19320401,19660720,Abentheuerhütte
19,374,48.89,10,19070101,19330907,Abtsgmünd-Neubronn
20,362,48.9179,9.8899,19361201,19680729,Abtsgmünd-Untergröningen
21,503,47.6069,9.7014,19341015,19981231,Achberg-Doberatsweiler
22,146,48.6268,8.0736,19361101,19791204,Achern-Fautenbach
23,28,53.016,9.0411,18910501,,Achim
24,582,47.8333,12.7833,19310101,19700407,Achthal
25,474,48.7667,9.6,19780701,19790101,Adelberg
26,41,52.5503,10.0544,19770201,20061231,Adelheidsdorf
27,657,47.8167,12.6167,19490201,19820630,Adelholzen Bad
28,470,48.954,10.006,19361108,20021231,Adelmannsfelden
30,,49.4,9.4,19310101,19341231,Adelsheim
31,25,53.2833,10.4333,19510101,19901231,Adendorf
32,194,52,9.9333,19310101,19900630,Adenstedt
33,93,52.0286,10.9994,19920401,20021231,Aderstedt
34,220,49.1667,9.45,19371101,19571231,Adolzfurt
35,480,50.3119,12.1877,19940615,20020630,Adorf
36,115,52.0308,9.235,19310101,20030502,Aerzen-Reher
37,470,48.4612,10.9795,19930201,20051231,Affing
38,52,52.09,7.0095,18910801,20061231,Ahaus (Wieselweg)
39,29,53.0585,9.3092,19840901,20061231,Ahausen
40,5,53.6674,14.1823,19590101,20031231,Ahlbeck
41,23,52.7616,9.5544,19951001,,Ahlden
42,70,51.7736,7.8738,19470201,20101231,Ahlen in Westfalen
43,3,53.7,8.7833,19310101,19770531,Ahlen(Falkenberger Moor)
