STATIONS_ID; MESS_DATUM_BEGINN; MESS_DATUM_ENDE; QUALITAETS_NIVEAU; ART; NIEDERSCHLAGSHOEHE;NEUSCHNEEHOEHE;SCHNEEHOEHE; max(NIEDERSCHLAGSHOEHE);eor
  4851;19690101;19690131;   5;   2;    39.0;   -999;     70;   11.0;eor
  4851;19690301;19690331;   5;   2;    18.0;   -999;    135;   10.0;eor
  4851;19690401;19690430;   5;   2;    46.0;   -999;      0;   15.5;eor
  4851;19690501;19690531;   5;   2;    56.9;   -999;      0;   11.8;eor
  4851;19690601;19690630;   5;   2;    42.2;   -999;      0;   12.9;eor
  4851;19690701;19690731;   5;   2;    29.2;   -999;      0;   21.9;eor
  4851;19690801;19690831;   5;   2;    91.0;   -999;      0;   54.2;eor
  4851;19690901;19690930;   5;   2;    11.6;   -999;      0;    4.0;eor
  4851;19691001;19691031;   5;   2;    28.1;   -999;      0;   15.4;eor
  4851;19691101;19691130;   5;   2;   112.1;   -999;      4;   28.1;eor
  4851;19691201;19691231;   5;   2;    28.4;   -999;    314;    9.1;eor
  4851;19700101;19700131;   5;   2;    15.7;   -999;    445;    7.6;eor
  4851;19700201;19700228;   5;   2;    33.5;   -999;    138;    5.1;eor
  4851;19700301;19700331;   5;   2;    93.1;   -999;    316;   15.1;eor
  4851;19700401;19700430;   5;   2;   119.5;   -999;     88;   20.0;eor
  4851;19700501;19700531;   5;   2;    40.8;   -999;      0;   11.5;eor
  4851;19700601;19700630;   5;   2;    24.0;   -999;      0;   11.5;eor
  4851;19700701;19700731;   5;   2;    71.3;   -999;      0;   16.8;eor
  4851;19700801;19700831;   5;   2;    22.5;   -999;      0;   12.8;eor
  4851;19700901;19700930;   5;   2;    49.5;   -999;      0;   10.0;eor
  4851;19701001;19701031;   5;   2;    91.6;   -999;      0;   15.0;eor
  4851;19701101;19701130;   5;   2;    98.1;   -999;      0;   23.5;eor
  4851;19701201;19701231;   5;   2;    56.2;   -999;     31;   13.4;eor
  4851;19710101;19710131;   5;   2;    32.0;   -999;     92;    7.3;eor
  4851;19710201;19710228;   5;   2;    26.7;   -999;     16;    5.1;eor
  4851;19710301;19710331;   5;   2;    43.9;   -999;    134;   10.5;eor
  4851;19710401;19710430;   5;   2;    18.0;   -999;      0;    8.4;eor
  4851;19710501;19710531;   5;   2;   125.3;   -999;      0;   60.3;eor
  4851;19710601;19710630;   5;   2;    90.0;   -999;      0;   18.5;eor
  4851;19710701;19710731;   5;   2;    30.3;   -999;      0;    8.4;eor
  4851;19710801;19710831;   5;   2;    33.2;   -999;      0;   11.1;eor
  4851;19710901;19710930;   5;   2;    29.1;   -999;      0;    7.5;eor
  4851;19711001;19711031;   5;   2;    24.3;   -999;      0;    7.0;eor
  4851;19711101;19711130;   5;   2;    45.8;   -999;     18;    8.9;eor
  4851;19711201;19711231;   5;   2;    37.2;   -999;      1;    8.0;eor
  4851;19720101;19720131;   5;   2;    15.7;   -999;     16;    5.3;eor
  4851;19720201;19720229;   5;   2;     2.5;   -999;     61;    1.5;eor
  4851;19720301;19720331;   5;   2;    56.6;   -999;      0;   21.1;eor
  4851;19720401;19720430;   5;   2;    39.1;   -999;      0;    6.9;eor
  4851;19720501;19720531;   5;   2;   127.1;   -999;      0;   46.5;eor
  4851;19720601;19720630;   5;   2;    74.4;   -999;      0;   18.2;eor
  4851;19720701;19720731;   5;   2;    47.7;   -999;      0;   15.0;eor
  4851;19720801;19720831;   5;   2;    47.8;   -999;      0;   25.1;eor
  4851;19720901;19720930;   5;   2;    52.9;   -999;      0;   32.5;eor
  4851;19721001;19721031;   5;   2;     7.0;   -999;      0;    3.5;eor
  4851;19721101;19721130;   5;   2;    42.5;   -999;      0;   10.1;eor
  4851;19721201;19721231;   5;   2;    15.6;   -999;      0;    4.8;eor
